"year","month","mean_lst_celsius"
2025,1,28.24
2025,2,31.62
2025,3,29.68
2025,4,27.69
2025,5,24.89
2025,6,23.46
2025,7,24.41
2025,8,25.5
2025,9,26.33
2025,10,24.97
2025,11,24.68
2025,12,24.12
2026,1,25.26
2026,2,29.68
2026,3,32.2
2026,4,29.22
2026,5,25.12
2026,6,23.53
2026,7,23.83
2026,8,26.06
2026,9,26.43
2026,10,24.98
2026,11,24.69
2026,12,24.56
2027,1,25.65
2027,2,28.64
2027,3,31.34
2027,4,29.74
2027,5,24.86
2027,6,24.59
2027,7,24.51
2027,8,25.26
2027,9,27.04
2027,10,24.85
2027,11,23.77
2027,12,25.39
2028,1,27.74
2028,2,31.67
2028,3,33.45
2028,4,30.87
2028,5,25.4
2028,6,24.17
2028,7,25.34
2028,8,26.15
2028,9,26.39
2028,10,26.36
2028,11,25.22
2028,12,25.8
2029,1,29.46
2029,2,31.78
2029,3,32.8
2029,4,28.4
2029,5,25.08
2029,6,23.72
2029,7,24.43
2029,8,25.15
2029,9,26.63
2029,10,27.12
2029,11,24.89
2029,12,25.86
2030,1,29.25
2030,2,31.56
2030,3,32.59
2030,4,31.19
2030,5,26.12
2030,6,23.82
2030,7,24.29
2030,8,24.89
2030,9,27.21
2030,10,25.18
2030,11,25.66
2030,12,24.99
2031,1,27.32
2031,2,31.52
2031,3,34.19
2031,4,32.95
2031,5,25.61
2031,6,25.6
2031,7,25.08
2031,8,27.16
2031,9,26.64
2031,10,24.62
2031,11,24.72
2031,12,25.4
2032,1,25.19
2032,2,28.19
2032,3,33.03
2032,4,32.52
2032,5,26.63
2032,6,24.27
2032,7,25.12
2032,8,27.12
2032,9,27.18
2032,10,25.69
2032,11,24.33
2032,12,25.52
2033,1,25.89
2033,2,27.21
2033,3,33.08
2033,4,30.59
2033,5,26.89
2033,6,23.53
2033,7,23.59
2033,8,25.55
2033,9,26.48
2033,10,25.39
2033,11,24.73
2033,12,25.58
2034,1,28.64
2034,2,31.35
2034,3,31.82
2034,4,28.18
2034,5,24.38
2034,6,23.62
2034,7,23.96
2034,8,25.1
2034,9,26.7
2034,10,25.08
2034,11,25.03
2034,12,25.54
2035,1,27.31
2035,2,30.55
2035,3,31.77
2035,4,26.19
2035,5,24.99
2035,6,24.13
2035,7,23.94
2035,8,24.16
2035,9,26.37
2035,10,24.72
2035,11,24.62
2035,12,24.91
