"county","year","month","month_name","mean_temp","total_precip"
"Baringo",1950,1,"Jan",NA,NA
"Baringo",1950,2,"Feb",NA,NA
"Baringo",1950,3,"Mar",NA,NA
"Baringo",1950,4,"Apr",22.1975002288818,23.2300395965576
"Baringo",1950,5,"May",20.6708011627197,264.19287109375
"Baringo",1950,6,"Jun",19.8769493103027,392.149871826172
"Baringo",1950,7,"Jul",19.2390518188477,440.555145263672
"Baringo",1950,8,"Aug",19.1311550140381,192.537017822266
"Baringo",1950,9,"Sep",19.9174346923828,19.7349796295166
"Baringo",1950,10,"Oct",20.1502571105957,144.461471557617
"Baringo",1950,11,"Nov",19.6058788299561,220.047241210938
"Baringo",1950,12,"Dec",19.4723453521729,227.715377807617
"Baringo",1951,1,"Jan",19.4556465148926,108.261528015137
"Baringo",1951,2,"Feb",20.109769821167,82.4799575805664
"Baringo",1951,3,"Mar",20.9668941497803,62.6522407531738
"Baringo",1951,4,"Apr",20.9959335327148,47.3356704711914
"Baringo",1951,5,"May",22.127140045166,148.337860107422
"Baringo",1951,6,"Jun",19.6706848144531,408.554077148438
"Baringo",1951,7,"Jul",20.1614589691162,253.279403686523
"Baringo",1951,8,"Aug",19.1443576812744,232.061614990234
"Baringo",1951,9,"Sep",19.7929706573486,43.3280906677246
"Baringo",1951,10,"Oct",20.8031444549561,104.834190368652
"Baringo",1951,11,"Nov",22.0583648681641,63.6641998291016
"Baringo",1951,12,"Dec",21.3493366241455,158.894790649414
"Baringo",1952,1,"Jan",19.7525253295898,377.174194335938
"Baringo",1952,2,"Feb",19.0510501861572,355.306640625
"Baringo",1952,3,"Mar",20.3664798736572,59.0168342590332
"Baringo",1952,4,"Apr",21.254638671875,58.3182792663574
"Baringo",1952,5,"May",22.0208053588867,76.0024566650391
"Baringo",1952,6,"Jun",20.1799983978271,432.542510986328
"Baringo",1952,7,"Jul",19.7960109710693,484.983276367188
"Baringo",1952,8,"Aug",19.4150142669678,235.519683837891
"Baringo",1952,9,"Sep",19.9275169372559,99.2917327880859
"Baringo",1952,10,"Oct",20.0316944122314,163.912063598633
"Baringo",1952,11,"Nov",20.7972431182861,112.384895324707
"Baringo",1952,12,"Dec",20.6794338226318,131.272827148438
"Baringo",1953,1,"Jan",20.0917091369629,129.529724121094
"Baringo",1953,2,"Feb",19.8562469482422,83.1155014038086
"Baringo",1953,3,"Mar",20.2660579681396,107.11693572998
"Baringo",1953,4,"Apr",20.4682655334473,115.052391052246
"Baringo",1953,5,"May",20.4685802459717,233.57926940918
"Baringo",1953,6,"Jun",20.0487880706787,523.586059570312
"Baringo",1953,7,"Jul",20.2448348999023,247.732727050781
"Baringo",1953,8,"Aug",19.3423862457275,237.068664550781
"Baringo",1953,9,"Sep",18.8918857574463,139.0732421875
"Baringo",1953,10,"Oct",18.8607349395752,273.216094970703
"Baringo",1953,11,"Nov",20.7189540863037,42.012866973877
"Baringo",1953,12,"Dec",21.2099533081055,173.589202880859
"Baringo",1954,1,"Jan",19.6810512542725,223.208984375
"Baringo",1954,2,"Feb",19.2831649780273,176.702713012695
"Baringo",1954,3,"Mar",20.446569442749,25.4926719665527
"Baringo",1954,4,"Apr",22.7173309326172,23.4570579528809
"Baringo",1954,5,"May",22.9311046600342,97.3912887573242
"Baringo",1954,6,"Jun",20.4845314025879,263.822723388672
"Baringo",1954,7,"Jul",19.4644145965576,465.107269287109
"Baringo",1954,8,"Aug",18.7303409576416,267.174377441406
"Baringo",1954,9,"Sep",18.1523971557617,300.924743652344
"Baringo",1954,10,"Oct",18.705171585083,249.289901733398
"Baringo",1954,11,"Nov",19.5041160583496,166.909423828125
"Baringo",1954,12,"Dec",20.9669704437256,48.5873680114746
"Baringo",1955,1,"Jan",21.6246337890625,9.06729412078857
"Baringo",1955,2,"Feb",21.0216846466064,61.5909576416016
"Baringo",1955,3,"Mar",21.4712905883789,32.4082679748535
"Baringo",1955,4,"Apr",23.0445575714111,31.7890033721924
"Baringo",1955,5,"May",23.3817882537842,58.4118461608887
"Baringo",1955,6,"Jun",21.1612968444824,208.705459594727
"Baringo",1955,7,"Jul",20.3228912353516,163.359130859375
"Baringo",1955,8,"Aug",20.4880485534668,98.6583633422852
"Baringo",1955,9,"Sep",19.0906715393066,193.018768310547
"Baringo",1955,10,"Oct",18.7236404418945,267.511322021484
"Baringo",1955,11,"Nov",19.5898361206055,157.749847412109
"Baringo",1955,12,"Dec",21.3492584228516,43.9662818908691
"Baringo",1956,1,"Jan",20.853931427002,63.9642715454102
"Baringo",1956,2,"Feb",21.7027587890625,32.2130279541016
"Baringo",1956,3,"Mar",20.9469795227051,61.7978668212891
"Baringo",1956,4,"Apr",22.9095077514648,16.3702335357666
"Baringo",1956,5,"May",23.3611583709717,34.2589073181152
"Baringo",1956,6,"Jun",21.8158912658691,179.640914916992
"Baringo",1956,7,"Jul",19.9099235534668,192.434951782227
"Baringo",1956,8,"Aug",19.5585060119629,112.233093261719
"Baringo",1956,9,"Sep",18.4340667724609,188.204650878906
"Baringo",1956,10,"Oct",18.8852405548096,224.183502197266
"Baringo",1956,11,"Nov",19.9152374267578,116.324554443359
"Baringo",1956,12,"Dec",21.9292221069336,23.4335193634033
"Baringo",1957,1,"Jan",21.8645515441895,26.8463687896729
"Baringo",1957,2,"Feb",21.4055328369141,21.5384654998779
"Baringo",1957,3,"Mar",21.6306915283203,64.374397277832
"Baringo",1957,4,"Apr",22.5301628112793,9.95257186889648
"Baringo",1957,5,"May",22.126350402832,128.472930908203
"Baringo",1957,6,"Jun",20.6886520385742,209.550430297852
"Baringo",1957,7,"Jul",20.238805770874,322.840759277344
"Baringo",1957,8,"Aug",19.7147808074951,162.545745849609
"Baringo",1957,9,"Sep",19.8976154327393,129.988388061523
"Baringo",1957,10,"Oct",19.7263469696045,127.848114013672
"Baringo",1957,11,"Nov",22.0893249511719,6.6191258430481
"Baringo",1957,12,"Dec",23.5112934112549,9.0844087600708
"Baringo",1958,1,"Jan",21.535285949707,87.3985137939453
"Baringo",1958,2,"Feb",21.5074272155762,40.6728477478027
"Baringo",1958,3,"Mar",23.0418357849121,41.6772766113281
"Baringo",1958,4,"Apr",21.7409439086914,115.349067687988
"Baringo",1958,5,"May",23.7085399627686,47.6511993408203
"Baringo",1958,6,"Jun",23.6288757324219,75.5203552246094
